Testlet Code,Text
Testlet2030042,"Be the Best of<br/>Whatever You Are<span class='author'>by Douglas Malloch</span></h1><div class='passageMisc'>If you can&#8217;t be a pine on the top of the hill<br/>Be a scrub<sup>1</sup> in the valley&mdash;but be<br/>The best little scrub by the side of the rill;<sup>2</sup><br/>Be a bush if you can&#8217;t be a tree.</div><div class='passageMisc'>If you can&#8217;t be a bush be a bit of the grass,<br/>And some highway some happier make;<br/>If you can&#8217;t be a muskie<sup>3</sup> then just be a bass&mdash;<br/>But the liveliest bass in the lake!</div><div class='passageMisc'><u>We can&#8217;t all be captains, we&#8217;ve got to be crew,</u><br/>There&#8217;s something for all of us here.<br/>There&#8217;s big work to do and there&#8217;s lesser to do,<br/>And the task we must do is the near.</div>"
Testlet2030042,"<div class='passageMisc'>If you can&#8217;t be a highway then just be a trail,<br/>If you can&#8217;t be the sun be a star;<br/>It isn&#8217;t by size that you win or you fail&mdash;<br/>Be the best of whatever you are!<div class='passageMiscBT absBottom'><div class='passageMisc'><b>1. scrub:</b> bush</div><div class='passageMisc'><b>2. rill:</b> a small stream</div><div class='passageMisc'><b>3. muskie:</b> a large fish prized by fishermen</div></div>"
Testlet2030042,"The Best Thing</h1><div class='passageMisc'>[<i>JAN, age 13, enters, dancing awkwardly while singing slightly off-key. She tries to hit a high note while at the same time trips over the carpet. She lands in a chair, pulls out a notebook and pen, and sits, looking frustrated. MOM enters.</i>]</div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>JAN [<i>groaning</i>]:<br/><span id='phrase-1' class='highlightPhrase'>I have to write a personal essay about what I do best.</span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>MOM:<br/><span id='phrase-2' class='highlightPhrase'>Well, what&#8217;s the problem? You should have a <u>multitude</u> of topics!</span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>JAN:<br/><span id='phrase-3' class='highlightPhrase'>Honestly, I don&#8217;t think I&#8217;m really good at anything important.</span></div>"
Testlet2030042,"<div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>MOM:<br/><span id='phrase-4' class='highlightPhrase'>That&#8217;s not true. What about choir? You&#8217;re a great singer.</span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>JAN [<i>laughing</i>]:<br/><span id='phrase-5' class='highlightPhrase'>That&#8217;s hilarious! I&#8217;ve never had <i>one</i> solo. Without instrumentals, I actually sound like a howling wolf.</span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>MOM:<br/><span id='phrase-6' class='highlightPhrase'><u>Ballet, then? I know you just started, but I think you&#8217;re so naturally graceful that&mdash;</u></span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>JAN:<br/><span id='phrase-7' class='highlightPhrase'>Not as much as you might think.</span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>MOM:<br/><span id='phrase-8' class='highlightPhrase'>You&#8217;re being too hard on yourself. Look at your wrist and tell me what you see. [<i>Jan looks down at a woven bracelet on her wrist.</i>]</span></div>"
Testlet2030042,"<div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>JAN:<br/><span id='phrase-9' class='highlightPhrase'>A bracelet.</span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>MOM:<br/><span id='phrase-10' class='highlightPhrase'>A bracelet you designed and wove with your own hands. You&#8217;ve made hats and scarves, too. <u>Sara and Trina <i>loved</i> the gifts you made them for Friendship Day.</u></span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>JAN [<i>laughing</i>]:<br/><span id='phrase-11' class='highlightPhrase'>That&#8217;s true! I guess you found my best thing, Mom.</span></div><div class='passageMisc highlightPhrases' highlightCount='1' group='g1'>MOM:<br/><span id='phrase-12' class='highlightPhrase'>That was easy. And you&#8217;re <i>my</i> best thing.</span></div><div class='passageMisc'>[<i>End scene</i>.]</div>"
Testlet3440,"No One Would Know</h1>Today was Patty&#8217;s seventh birthday. Her older brother took her to the fair. As they stood in line to buy tickets, Patty saw a sign. It said, &#8220;Children over seven pay full price. Children under seven pay half price.&#8221;</div>Patty whispered an idea to her brother. &#8220;Yesterday I was six years</div>"
Testlet3440,"old. We could pretend I&#8217;m still six. No one would know.&#8221;</div>&#8220;Well, <i>we</i> would know,&#8221; her brother said. &#8220;It would be a lie.&#8221;</div>Patty watched her brother buy the tickets for full price. &#8220;You are right,&#8221; said Patty. &#8220;It’s always better to tell the truth!&#8221;</div>"
Testlet1100007,"America&#8217;s Least-Known<br/>National Parks</h1>When most people think of national parks, they envision Yellowstone or Yosemite&mdash;parks visited by millions each year. But why follow the herd to places where you&#8217;ll get jostled by crowds, missing out on the very grandeur you came to see? There are several less <br/>well-known, but no less spectacular, national parks for those who prefer quieter places.</div><div class='paraTitle'>Kobuk Valley National Park</div>This national park in Alaska is so far north it&#8217;s inside the Arctic Circle, but odd weather configurations create summertime temperatures above 100 degrees. While the surrounding terrain is decorated with spruce</div>"
Testlet1100007,"forests, visitors are most surprised by the 25 square miles of sand dunes that ripple and drift like an arctic Mojave Desert.</div>How did three clusters of sand dunes&mdash;some of them 100 feet high&mdash;find their way into this Arctic wilderness? When glaciers crawled across the landscape some 15,000 years ago, they ground large rocks into sand. After the last ice age ended, prevailing winds began to blow this sand into the valley where the dunes are found today.</div>There is also enthralling and plentiful wildlife in this isolated place, from enormous caribou herds that migrate across the region to majestic grizzlies and wolves.</div>"
Testlet1100007,"This is a large park of more than 1.75 million acres, accessible only by charter plane or boat. Just a few thousand people visit each year, so you&#8217;d be hard pressed to find any crowds here!</div><div class='paraTitle'>Great Basin National Park</div>A completely different environment is found at Nevada&#8217;s Great Basin National Park. Looking at a map, one might expect to find only desert in this park. But there&#8217;s more to Great Basin than arid valleys, rock formations, prickly pear cactus, and vibrant sunsets.</div>This park preserves ancient trees, a <br/>world-class cavern, and even a glacier. Bristlecone pines&mdash;the world&#8217;s oldest <br/>trees&mdash;grow atop 13,000-foot Mt. Wheeler,</div>"
Testlet1100007,"the second highest peak in Nevada. Some of these trees are 3,000 years old. Halfway up the towering peak is Lehman Caves, which formed in the distant past when inland seas covered the desert terrain. Mineral formations such as flowstone, stalactites, and stalagmites decorate 1.5 miles of passages in this <u>underground fairyland</u>. Also found in the 77,000-acre park is a glacier-carved valley featuring sharp-edged cliffs and the region&#8217;s only permanent glacier.</div>Although easily accessible from Las Vegas, Baker, or Salt Lake City, Great Basin is visited by a surprisingly small number of people: approximately 85,000 each year. (Compare this to the 4 million who annually visit the nearby Grand Canyon!)</div>"
Testlet1100007,"<div class='paraTitle'>North Cascades National Park</div>When most people think of Washington State, they picture Seattle, Puget Sound, and perhaps Mt. Rainier. But here in the north central part of the state lies North Cascades National Park, a collection of snow-covered peaks just south of the Canadian border. Though scarcely 100 miles from bustling Seattle, this is a lightly visited park; only about 20,000 visitors come here annually.</div>Some call this park the &#8220;American Alps&#8221; for its more-than-9,000-foot-tall, sharp-edged pinnacles, which boast ominous names, such as Mount Despair, Mount Fury, and Mount Terror. A highway cuts through the park and offers spectacular views of stunning alpine scenery.</div>"
Testlet1100007,"Some of our national parks see millions of visitors each year, but an equally fascinating group of little-known parks  awaits those looking for something off the beaten path.</div>The table that follows, on page 7, shows the average number of people who visit some of our national parks throughout the year.</div>"
Testlet1100007,"<div class=""passageBody paraTitle alignCenter padding-0"">Annual Recreation Visits Report</div><div class=""passageBody alignCenter padding-vertical-0""><div class=""diagTable--wrapper ela-table-large""><table class=""diagTable font-e""><tr><th scope=""col"" class=""type-d-title"" colspan=""6"">CARLSBAD CAVERNS</th></tr><tr><th scope=""col"">2007</th><th scope=""col"">2008</th><th scope=""col"">2009</th><th scope=""col"">2010</th><th scope=""col"">2011</th><th scope=""col"">Average</th></tr><tr><td>409,560</td><td>400,381</td><td>432,639</td><td>428,524</td><td>365,000</td><td>407,221</td></tr><tr><th scope=""col"" class=""type-d-title"" colspan=""6"">DENALI</th></tr><tr><th scope=""col"">2007</th><th scope=""col"">2008</th><th scope=""col"">2009</th><th scope=""col"">2010</th><th scope=""col"">2011</th><th scope=""col"">Average</th></tr><tr><td>458,308</td><td>432,309</td><td>358,041</td><td>378,855</td><td>406,582</td><td>406,819</td></tr><tr><th scope=""col"" class=""type-d-title"" colspan=""6"">GRAND CANYON</th></tr><tr><th scope=""col"">2007</th><th scope=""col"">2008</th><th scope=""col"">2009</th><th scope=""col"">2010</th><th scope=""col"">2011</th><th scope=""col"">Average</th></tr><tr><td>4,413,668</td><td>4,425,314</td><td>4,348,068</td><td>4,388,386</td><td>4,298,178</td><td>4,374,723</td></tr><tr><th scope=""col"" class=""type-d-title"" colspan=""6"">GREAT BASIN</th></tr><tr><th scope=""col"">2007</th><th scope=""col"">2008</th><th scope=""col"">2009</th><th scope=""col"">2010</th><th scope=""col"">2011</th><th scope=""col"">Average</th></tr><tr><td>81,364</td><td>69,235</td><td>84,974</td><td>88,870</td><td>91,451</td><td>83,179</td></tr><tr><th scope=""col"" class=""type-d-title"" colspan=""6"">KOBUK VALLEY</th></tr><tr><th scope=""col"">2007</th><th scope=""col"">2008</th><th scope=""col"">2009</th><th scope=""col"">2010</th><th scope=""col"">2011</th><th scope=""col"">Average</th></tr><tr><td>847</td><td>1,565</td><td>1,879</td><td>3,164</td><td>11,485</td><td>3,788</td></tr><tr><th scope=""col"" class=""type-d-title"" colspan=""6"">NORTH CASCADES</th></tr><tr><th scope=""col"">2007</th><th scope=""col"">2008</th><th scope=""col"">2009</th><th scope=""col"">2010</th><th scope=""col"">2011</th><th scope=""col"">Average</th></tr><tr><td>19,534</td><td>18,725</td><td>26,972</td><td>24,659</td><td>19,208</td><td>21,820</td></tr><tr><th scope=""col"" class=""type-d-title"" colspan=""6"">YOSEMITE</th></tr><tr><th scope=""col"">2007</th><th scope=""col"">2008</th><th scope=""col"">2009</th><th scope=""col"">2010</th><th scope=""col"">2011</th><th scope=""col"">Average</th></tr><tr><td>3,503,428</td><td>3,431,514</td><td>3,737,472</td><td>3,901,408</td><td>3,951,393</td><td>3,705,043</td></tr></table></div></div>"
Testlet1100008,"Regulation of Bottled Water</h1>August 28, 2010</div>Regulation of Bottled Water Action Committee Statement of William Diaz, Director, Environmental Resources Research Group</div>Ms. Chairwoman and Members of the Committee:</div>Thank you for inviting me here today. I am pleased to contribute to the discussion on the quality and safety of bottled water. Today we are releasing our study on bottled water in the United States. The study shows that over 10 years, Americans&#8217; consumption of bottled water has doubled. <u>In 2008 alone, Americans drank 8.6 billion gallons of bottled water. This</u></div>"
Testlet1100008,"<u>increase is despite the fact that bottled water costs consumers as much as 1,900 times more than tap water. It also takes up to 2,000 times more energy to manufacture and transport the product.</u></div>In spite of the growing popularity of bottled water, questions remain regarding its quality and safety. Consumers have little way of knowing where the water in their bottles comes from or how it has been treated. A recent poll showed that many people drink bottled water because they believe it is safer or healthier than is tap water. However, water quality testing shows little evidence that bottled water contains lower levels of contaminants than tap water contains.</div>"
Testlet1100008,"<div class='passageBody paraTitle alignCenter'>Reasons Consumers Choose Bottled Water</div><div class='passageBody alignCenter'><img aria-describedby='RC_L10_I01_089_tab_page3.svg_DescribeId' src='{cdnPath}/images/RC_L10_I01_089_tab_page3.svg'/><div class='screen-reader-only' id='RC_L10_I01_089_tab_page3.svg_DescribeId'><table><caption>Reasons Consumers Choose Bottled Water</caption>  <tr>     <th scope=""row"">Worried about Tap Water Safety</th>    <td>35%</td></tr>  <tr>    <th scope=""row"">Worried About Tap Water Safety and Substitute for Other Beverages</th>    <td>12%</td></tr>  <tr>    <th scope=""row"">Substitute for Other Beverages</th>    <td>35%</td></tr>  <tr>    <th scope=""row"">Taste</th>    <td>7%</td>    </tr>   <tr>    <th scope=""row"">Other</th>    <td>11%</td></tr>        </table></div></div>"
Testlet1100008,"Tap water suppliers are required by the Environmental Protection Agency (EPA) to provide annual consumer confidence reports. These reports summarize the quality of local tap water and reveal information about any known contaminants. Bottled water is not subject to the same regulations.  Because bottled water is treated as a food, it is regulated by the Food and Drug Administration (FDA), not the EPA. Companies that make bottled water must list basic ingredients and nutritional information on their labels. However, they are not required to disclose the source of the water, how it is treated, or how it is tested for contaminants. The table on the following page illustrates some of these differences.</div>"
Testlet1100008,"<div class=""passageBody alignCenter""><div class=""diagTable--wrapper ela-table""><table class=""diagTable font-e""><thead><tr><th scope=""col"">Drinking Water<br>Regulation</th><th scope=""col"">FDA Bottled<br>Water Rules</th><th scope=""col"">EPA Tap<br>Water Rules</th></tr></thead><tr><td>Required to inform consumers of contaminants</td><td>no</td><td>yes</td></tr><tr><td>Required to provide consumer confidence report</td><td>no</td><td>yes</td></tr><tr><td>Required to use certified laboratories for water quality testing</td><td>no</td><td>yes</td></tr><tr><td>Testing frequency for bacteria</td><td>once a week</td><td>hundreds of times a month</td></tr><tr><td>Testing frequency for synthetic and organic chemicals</td><td>once a year</td><td>four times a year</td></tr></table></div></div><div class=""passageBody"">In 2000, the FDA determined that bottled water manufacturers should provide consumers with the same information required from community water systems.</div>"
Testlet1100008,"However, the agency has made no move to enforce this recommendation. As a result, consumers of bottled water do not receive clear or adequate information about what they are drinking. To date, regulations for bottled water remain significantly weaker than regulations enforced for tap water. In the interest of public safety, our report recommends that stricter regulations for bottled water be implemented.</div>Ms. Chairwoman, this concludes my statement. I would be pleased to answer questions from the committee.</div>"
Testlet1100009,"The Compass Leads the Way</h1>Before the invention of the compass, many people identified direction by the position of the sun and stars. But what happened when it was cloudy or rainy? The discovery of the compass <u>revolutionized</u> the world by allowing people to navigate the seas safely as well as explore the land.</div><div class='paraTitle'>Lodestones</div>Although conflicting theories about who invented the compass exist, what is believed to be the earliest type of compass was discovered in China more than 2,000 years ago. The earliest compasses were lodestones, chunks of naturally magnetic iron ore. The</div>"
Testlet1100009,"ancient Chinese suspended pieces of lodestone from string so the lodestones could turn. Because the pieces always turned in the same direction, people could now rely on the first magnetic compasses. We get the name <i>lodestone</i> from a Middle English word meaning &#8220;leading stone.&#8221;</div>Later, the Chinese designed an early compass on a metal plate that had markings for the cardinal points (north, south, east, and west) and the constellations. A lodestone spoon-shaped device was the pointing needle. The handle always pointed south.</div>"
Testlet1100009,"<div class='paraTitle'>Magnetized Needles</div>By the eighth century, scholars had contrived a way to magnetize iron needles by rubbing them with a lodestone. In the eleventh century, magnetized needles were floated in a bowl of water with edge markings, and the resulting device was referred to as a wet compass. Further improvements led to a boxed compass, which was very similar to the modern compass; this type of compass was more portable, making it useful for navigational purposes.</div>"
Testlet1100009,<div class='passageBody alignCenter'><img src='{cdnPath}/images/RC_L10_I01_097_tab_page4.svg' /></div><div class='passageMisc'><div class='paraTitle  alignCenter'>A boxed compass</div></div>
Testlet1100009,"<div class='paraTitle'>How a Compass Works</div>A compass operates by utilizing Earth&#8217;s natural magnetism. When a compass is held out steadily, its magnetized needle aligns with Earth&#8217;s magnetic lines of force and points approximately north. With the invention of the compass, navigators could instantly discern north, prompting people to refer to compasses as &#8220;the eyes of sailors.&#8221;</div><div class='paraTitle'>Effects on History</div>Before the compass, mariners stayed close to the land and relied on visible landmarks. The invention of the compass opened the door to a new era by allowing mariners to venture out into the open sea. In the fifteenth and sixteenth centuries, explorers made several notable journeys with the aid of compasses.</div>"
Testlet1100009,"Zheng He, a Chinese mariner, made seven voyages to Southeast Asia and around the Indian Ocean; Christopher Columbus reached what he called &#8220;the New World,&#8221; and Ferdinand Magellan sailed around the world. Inventing the compass is an illustration of human ingenuity, and the compass ranks as one of the most significant devices in history.</div>"
Testlet1100004,"<div class='passageMisc'><i>American Henry Ward Beecher came from a family of abolitionists and traveled the world speaking out against the practice of slavery. In 1863, Beecher appeared in Manchester, England, to speak to English government officials about the Civil War and the inhumanity of slavery. The following is an excerpt from that speech as transcribed by a </i>New York Times<i> reporter. In this excerpt, he mentions the Fugitive Slave Law, which required that slaves who ran away to free states be returned to their masters.</i></div>Excerpt from Beecher&#8217;s Speech in Manchester, England</h1>. . . The Fugitive Slave Law is simply a law which we hold to be an outrage, but inoperative, as having no power beyond the year in which it was passed. It is just as dead now, and has been the last eight or nine years, as the snake&#8217;s skin that was sloughed</div>"
Testlet1100004,"ten years ago. It is said we ought to have abolished it. When Congress came together they passed so many reformatory laws that it was thought seriously they should abolish this; but they said we are charged with coming together for revolutionary purposes and to destroy the local municipal power of the States, and we must not do anything in our national legislation that shall countenance the doctrine that we are revolutionizing State sovereignty.</div><i>[A gentleman asked how the great religious associations regarded the Anti-Slavery question.]</i></div>There are two parties&mdash;one is very small and able, called Abolitionists; the other comprises</div>"
Testlet1100004,"all the rest of the North, and is called Anti-Slavery. The distinction is not one of doctrine, but of method. Mr. Garrison and Mr. Phillips said the North must save itself by disunion. The great body of those who hated Slavery said, &#8220;<u>We cannot consent to that</u>;&#8221; and I was among them, from first to last; and that paragraph in the newspapers which says I once said there could be no getting rid of Slavery under the Constitution is a total and absolute falsehood. <i>[Cheers.]</i></div>It was like burning a barn to get rid of the rats.<i>[Great laughter.]</i></div>We have always said the thing is bad enough, but not so bad but we can cure it by moral means; and I have said over and over again</div>"
Testlet1100004,"to Southern slavers, &#8220;You shall not go off; we will hold you in the bosom of liberty until you are dead.&#8221; <i>[Cheers.]</i></div>Those who thought decisive measures too dangerous are called Anti-Slavery; those who were for immediate disruption were called Abolitionists. But now there is no distinction at all; and Mr. Garrison has said in public that when he declared the Constitution involved Slavery, he never expected to see the Emancipation Proclamation of Mr. Lincoln. <i>[Applause.]</i></div><u>There is now one overwhelming majority in the North who say: &#8220;Since they have taken the sword, let Slavery perish by the sword;</u>&#8221; . . .</div>"
Testlet1100004,"<div class='passageMisc'><i>The following is Henry Ward Beecher&#8217;s own account of his speech featured in <b>Passage 1.</b></i></div>Beecher&#8217;s Account of His Speech in Manchester, England</h1>I went to my hotel, and when the day came on which I was to make my first speech, I struck out the notes of my speech in the morning; and then came up a kind of <br/>horror&mdash;&#8220;I don&#8217;t know whether I can do anything with an English audience&mdash;I have never had any experience with an English audience. My American ways, which are all well enough with Americans, may utterly fail here, and a failure in the cause of my country now and here is horrible beyond conception to me!&#8221; . . .</div>"
Testlet1100004,"We reached the hall. . . . The speaker was very English on the subject, and I learned that I belonged to an heroic band, and all that sort of thing, with Abolitionism mixed in, and so on. . . . This meeting had a very large multitude of men in it who came there for the purpose of destroying the meeting and carrying it the other way when it came to a vote.</div>I took the measure of the audience and said to myself, &#8220;About one fourth of this audience are opposed to me, and about one fourth will be rather in sympathy; and my business now is, not to appeal to that portion that is opposed to me nor to those that are already on my side, but to bring over the middle section.&#8221; How to do this was a problem. The question was, who could hold out longest.</div>"
Testlet1100004,"There were five or six storm-centres, boiling and whirling at the same time: here some one pounding on a group with his umbrella and shouting, &#8220;Sit down there;&#8221; over yonder a row between two or three combatants; somewhere else a group all yelling together at the top of their voices. It was like talking to a storm at sea. But there were the newspaper reporters just in front, and I said to them, &#8220;Now, gentlemen, be kind enough to take down what I say. It will be in sections, but I will have it connected by and by.&#8221; I threw my notes away, and entered on a discussion of the value of freedom as opposed to slavery in the manufacturing interest, arguing that freedom everywhere increases a man&#8217;s necessities, and what he needs he buys, and</div>"
Testlet1100004,"that it was, therefore, to the interest of the manufacturing community to stand by the side of labor through the country. I never was more self-possessed and never in more perfect good temper, and I never was more determined that my hearers should feel the curb before I got through with them. . . . I think it was there that when I started to go down into the rooms below to get an exit, a big burly Englishman in the gallery wanted to shake hands with me, and I could not reach him, and he called out, &#8220;Shake my umbrella!&#8221; and he reached it over; I shook it, and as I did so he shouted, &#8220;By Jock! Nobody shall touch that umbrella again!&#8221;</div>"
Testlet1120000071,"<div class='passageMisc'><i>George Washington&#8217;s Farewell Address is a letter written by America&#8217;s first president, George Washington, to &#8220;The People of the United States of America.&#8221; Washington wrote the letter in 1796, shortly before the end of his term as president. The Farewell Address included three key<br/>points&mdash;the need for unity, the threat of political parties, and the threat of foreign power. This excerpt addresses only the first. At the time, a political battle was raging over whether the federal government should be strong&mdash;which is what Washington means by unity&mdash;or whether individual states or regions should put their own interests ahead of those of the new nation as a whole.</i></div>George Washington&#8217;s<br/>Farewell Address</h1>Friends and Fellow Citizens:</div>. . . The unity of government . . .  is also now dear to you. It is justly so, for it is a main pillar</div>"
Testlet1120000071,"in the edifice<sup>1</sup> of your real independence, the support of your tranquility at home, your peace abroad; of your safety; of your prosperity; of that very liberty which you so highly prize. But as it is easy to foresee that, from different causes and from different quarters, much pains will be taken, many artifices<sup>2</sup> employed to weaken in your minds the conviction of this truth; as this is the point in your political fortress against which the batteries of internal and external enemies will be most constantly and actively . . . directed, it is of infinite [importance] that you should properly estimate the immense value of your national union to your collective and individual happiness; that you should cherish a cordial, habitual, and immovable</div>"
Testlet1120000071,"attachment to it; accustoming yourselves to think and speak of it as of the palladium<sup>3</sup> of your political safety and prosperity; watching for its preservation with jealous anxiety; [discounting] whatever may suggest even a suspicion that it can in any event be abandoned; and indignantly frowning upon the first dawning of every attempt to alienate any portion of our country from the rest . . . .</div>For this you have every inducement of sympathy and interest. Citizens, by birth or choice, of a common country, that country has a right to concentrate your affections. The name of American, which belongs to you in your national capacity, must always exalt the just pride of patriotism more than any</div>"
Testlet1120000071,"[local name]. With slight shades of difference, you have the same religion, manners, habits, and political principles. You have in a common cause fought and triumphed together; the independence and liberty you possess are the work of joint counsels, and joint efforts of common dangers, sufferings, and successes.</div>But these considerations, however powerfully they address themselves to your sensibility, are greatly outweighed by those which apply more immediately to your interest. Here every portion of our country finds the most commanding motives for carefully guarding and preserving the union of the whole . . . .</div>"
Testlet1120000071,"While . . . every part of our country thus feels an immediate and particular interest in union, all the parts combined cannot fail to find in the united mass of means and efforts greater strength, greater resource, proportionably greater security from external danger, a less frequent interruption of their peace by foreign nations; and, what is of inestimable value, they must derive from union an exemption from those broils<sup>4</sup> and wars between themselves, which so frequently afflict neighboring countries not tied together by the same governments. . . . In this sense it is that your union ought to be considered as a main prop of your liberty, and that the love of the one ought to endear to you the preservation of the other.</div>"
Testlet1120000071,"<div class='passageMiscBT absBottom'><div class='passageMisc'><b>1. edifice:</b> a building or structure, especially one that is large or imposing</div><div class='passageMisc'><b>2. artifices:</b> clever tricks or ploys</div><div class='passageMisc'><b>3. palladium:</b> anything believed to provide protection or safety</div><div class='passageMisc'><b>4. broils:</b> angry quarrels or struggles</div></div>"
Testlet1120000131,"<div class='passageMisc'><i>This passage offers one author&#8217;s opinion about schools that are in session throughout the year.</i></div>Year-Round School</h1>When the school bell rings on the final day before summer break, most students rejoice. A long, uninterrupted recess awaits them, and visions of lazy days dance through their thoughts. Yet, when summer arrives, it is often accompanied by boredom and lack of intellectual stimulation. The typical <br/>eleven-week break during the summer months brings with it many disadvantages, including decreased recollection of information learned the previous year. There is a solution to these: year-round school. Year-round school has a great number of</div>"
Testlet1120000131,"advantages, and more schools should adopt this type of program.</div>In the typical academic calendar, students attend school approximately 180 days of the year. They have a couple of weeks off in the winter, a week off in the spring, and then 11 to 12 weeks off in the summer. In year-round schools, students attend school 180 days as well, but they only attend for 45 days at a time followed by 15 days off. The usual holiday and seasonal breaks are built into the schedule.</div>In 2014, there were 3,181 year-round schools in the United States, which means approximately 10 percent of the students who attended public school followed a year-round</div>"
Testlet1120000131,calendar. A recent survey of parents with students in year-round school found that  80 percent were satisfied with their school&#8217;s schedule. They reported that daycare was still available for children during breaks and that travel was less expensive during off-peak times. Schools reported fewer absences because teachers and students had frequent breaks that eased fatigue and encouraged rejuvenation. Students often returned to the classroom with renewed energy and enthusiasm.</div>Some studies suggest that struggling students perform better in year-round schools because they can use breaks in the calendar for review and enrichment. The North Carolina Department of Public</div>
Testlet1120000131,"Instruction studied 345,000 public schools, and the students in year-round schools had achievement levels similar to those in traditional schools. Ohio State University performed a recent analysis and found no significant difference in reading and math achievement between traditional and<br/>year-round schools. The State of California Department of Education reported that third graders in the state who went to year-round school improved 9.5 percent on standardized tests, and students&#8217; reading scores rose 13.3 percent. There is increasing national interest in nontraditional school schedules. Further, many foreign countries use year-round school calendars.</div>"
Testlet1120000131,"Class sizes are smaller in year-round schools that use a &#8220;multi-track&#8221; system, in which students are divided into groups, and different groups attend at different times in the month. Costs are reduced in these school districts because buildings are used constantly rather than standing empty, and teachers earn more by teaching more weeks of the year. With all these benefits, schools ought to review the research on year-round schools when planning their calendars. Perhaps this method will be the revolutionary change education systems need.</div>"
Testlet1120000081,"<div class='passageMisc'><i>This speech was given by President Dwight D. Eisenhower when he left office in 1961. Prior to becoming president, Eisenhower was a five-star general in the United States Army. For this reason, it was somewhat surprising that the former war hero used this opportunity to warn against the dangers of the &#8220;military-industrial complex&#8221; developing in the United States. As president, Eisenhower had sometimes resisted large increases in defense spending. Nonetheless, the American defense industry expanded rapidly in the 1950s as a result of the United States&#8217; arms race with the Soviet Union. Eisenhower acknowledged that military development was necessary, but he also advocated for peaceful solutions to conflicts.</i></div>Dwight D. Eisenhower&#8217;s <br/>Farewell Address</h1>As we peer into society&#8217;s future, we&mdash;you and I, and our government&mdash;must avoid the impulse to live only for today, plundering for</div>"
